Camera ,DateSiteStart,DateSiteEnd,DateCameraStart,DateCameraEnd,DateNotFunctionalStart1,DateNotFunctionalEnd1,DateNotFunctionalStart2,DateNotFunctionalEnd2,DateNotFunctionalStart3,DateNotFunctionalEnd3,DateNotFunctionalStart4,DateNotFunctionalEnd4,DateNotFunctionalStart5,DateNotFunctionalEnd5,DateNotFunctionalStart6,DateNotFunctionalEnd6,,,,,DatePartialFunctionalBatteryStart1,DatePartialFunctionalBatteryEnd1,DatePartialFunctionalBatteryStart2,DatePartialFunctionalBatteryEnd2,DatePartialFunctionalBatteryStart3,DatePartialFunctionalBatteryEnd3,DatePartialFunctionalBatteryStart3,DatePartialFunctionalBatteryEnd3,,,,,,,DatePartialFunctionalPlacementStart1,DatePartialFunctionalPlacementEnd1,DatePartialFunctionalPlacementStart2,DatePartialFunctionalPlacementEnd2,DatePartialFunctionalPlacementStart3,DatePartialFunctionalPlacementEnd3,DatePartialFunctionalPlacementStart4,DatePartialFunctionalPlacementEnd4,,,DatePartialFunctionalPlacementStart6,DatePartialFunctionalPlacementEnd6,,,,,,,,,,
MS019,13/03/2021,?,13/03/2021,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS020,11/03/2021,30/05/2022,11/03/2021,30/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS021,11/03/2021,01/06/2022,13/03/2021,24/06/2022,13/03/2022,1/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS022,11/03/2021,30/05/2022,11/03/2021,30/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS023,11/03/2021,30/05/2022,11/03/2021,30/05/2022,,,,,,,,,,,,,,,,,25/06/2021,15/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS024a,10/02/2022,30/05/2023,10/02/2022,30/05/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS024b,10/02/2022,30/05/2023,10/02/2022,30/05/2023,01/06/2022,02/08/2022,28/11/2022,04/12/2022,23/12/2022,10/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS025a,28/04/2021,31/05/2023,28/04/2021,31/05/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS025b,28/04/2021,31/05/2023,04/05/2022,31/05/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS026a,25/01/2022,01/06/2023,25/01/2022,01/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS026b,?,01/06/2023,?,05/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS027,28/04/2021,06/06/2021,28/04/2021,06/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
