"","Date","ActiveCameras","Site","Status","MonthDay","Year","Active"
"88",2020-03-11,2,"MS023","Inactive","03-11","2020","0"
"89",2020-03-11,2,"MS024","Inactive","03-11","2020","0"
"90",2020-03-11,2,"MS026","Inactive","03-11","2020","0"
"91",2020-03-12,2,"MS001","Active","03-12","2020","1"
"92",2020-03-12,2,"MS002","Inactive","03-12","2020","0"
"93",2020-03-12,2,"MS004","Active","03-12","2020","1"
"94",2020-03-12,2,"MS007","Inactive","03-12","2020","0"
"95",2020-03-12,2,"MS016","Inactive","03-12","2020","0"
"96",2020-03-12,2,"MS017","Inactive","03-12","2020","0"
"97",2020-03-12,2,"MS021","Inactive","03-12","2020","0"
"98",2020-03-12,2,"MS023","Inactive","03-12","2020","0"
"99",2020-03-12,2,"MS024","Inactive","03-12","2020","0"
"100",2020-03-12,2,"MS026","Inactive","03-12","2020","0"
"101",2020-03-13,2,"MS001","Active","03-13","2020","1"
"102",2020-03-13,2,"MS002","Inactive","03-13","2020","0"
"103",2020-03-13,2,"MS004","Active","03-13","2020","1"
"104",2020-03-13,2,"MS007","Inactive","03-13","2020","0"
"105",2020-03-13,2,"MS016","Inactive","03-13","2020","0"
"106",2020-03-13,2,"MS017","Inactive","03-13","2020","0"
"107",2020-03-13,2,"MS021","Inactive","03-13","2020","0"
"108",2020-03-13,2,"MS023","Inactive","03-13","2020","0"
"109",2020-03-13,2,"MS024","Inactive","03-13","2020","0"
"110",2020-03-13,2,"MS026","Inactive","03-13","2020","0"
"111",2020-03-14,2,"MS001","Active","03-14","2020","1"
"112",2020-03-14,2,"MS002","Inactive","03-14","2020","0"
"113",2020-03-14,2,"MS004","Active","03-14","2020","1"
"114",2020-03-14,2,"MS007","Inactive","03-14","2020","0"
"115",2020-03-14,2,"MS016","Inactive","03-14","2020","0"
"116",2020-03-14,2,"MS017","Inactive","03-14","2020","0"
"117",2020-03-14,2,"MS021","Inactive","03-14","2020","0"
"118",2020-03-14,2,"MS023","Inactive","03-14","2020","0"
"119",2020-03-14,2,"MS024","Inactive","03-14","2020","0"
"120",2020-03-14,2,"MS026","Inactive","03-14","2020","0"
"121",2020-03-15,2,"MS001","Active","03-15","2020","1"
